annual_inc,bc_util,chargeoff_within_12_mths,dti,inq_last_6mths,mths_since_last_delinq,num_accts_ever_120_pd,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bc_limit,avg_cur_bal,pct_tl_nvr_dlq,revol_bal,total_acc,int_rate,verification_status,home_ownership,term,TARGET
30000,90.9,0,35.2,0,85,1,0,0,49600,19200,6369,94.1,18732,17,8.18,Source Verified,OWN, 36 months,0
98000,96.7,0,29.12,0,7,0,0,0,356882,4200,28392,100,12260,25,17.86,Source Verified,OWN, 60 months,0
70000,54.6,0,1.13,0,71,0,0,0,7500,7500,1366,80,4097,5,14.65,Verified,MORTGAGE, 36 months,0
39000,90.8,0,1.88,1,40,2,0,0,166100,2100,35766,69.2,1907,13,13.33,Source Verified,MORTGAGE, 36 months,0
43000,98.4,0,18.39,0,32,0,0,0,39568,4000,3080,90.9,14253,11,11.53,Not Verified,RENT, 36 months,0
68000,31.9,0,16.2,2,22,3,0,0,49314,10300,2081,61.5,4193,26,14.65,Verified,RENT, 36 months,0
58397,32.1,0,16.42,0,73,0,0,0,188472,26700,10123,100,8940,19,7.89,Source Verified,RENT, 36 months,0
42000,31.1,0,29.77,3,8,0,0,0,55239,4800,3781,100,2616,18,19.52,Verified,MORTGAGE, 60 months,1
38000,97,0,34.78,1,36,4,0,0,44096,9000,2553,88,11616,32,16.99,Verified,RENT, 36 months,0
32000,33.5,0,30.5,0,17,0,0,0,116362,22600,6001,100,7881,21,6.92,Source Verified,MORTGAGE, 36 months,0
39000,41.6,0,20.98,0,7,0,0,0,30436,13700,2305,94.1,6906,17,13.99,Not Verified,RENT, 36 months,0
30000,83.1,0,28.88,0,80,0,0,0,49961,13900,3595,100,11552,24,9.17,Not Verified,RENT, 36 months,1
1.00E+05,12.4,0,16.72,0,30,0,0,0,155543,22900,14009,100,2843,35,6.92,Not Verified,RENT, 36 months,0
40000,48.2,0,26.65,1,11,0,0,0,48292,23900,3166,95.8,16750,50,6.39,Source Verified,OWN, 36 months,0
125000,89.6,0,8.26,0,63,0,0,0,56176,31400,5796,100,30251,27,17.57,Source Verified,MORTGAGE, 60 months,0
130000,27,0,21.44,0,5,3,0,0,301537,9600,13535,70.6,3803,52,15.61,Source Verified,MORTGAGE, 60 months,0
17000,54.9,0,8.33,0,37,0,0,0,9600,9600,1757,90,5271,10,9.17,Verified,OWN, 36 months,0
33976,1.7,0,15.15,2,40,0,0,0,30662,14900,1660,68,259,26,15.61,Verified,RENT, 36 months,0
90000,22.6,0,10.16,1,64,0,0,2,199082,19100,16282,100,4636,19,12.29,Source Verified,MORTGAGE, 36 months,0
49000,98.5,0,35.42,0,65,0,0,0,136476,20400,6685,100,32199,32,9.99,Not Verified,MORTGAGE, 36 months,0
30700,89.4,0,31.98,2,31,0,0,0,61181,6500,4383,89.5,8910,19,18.25,Verified,MORTGAGE, 60 months,0
128000,77.2,0,15.95,0,16,0,1,0,598853,12800,53989,89.7,10494,30,14.65,Source Verified,MORTGAGE, 36 months,0
123000,1.1,0,1.55,0,23,1,0,1,218012,11400,30238,73.9,6529,23,6.68,Verified,RENT, 36 months,0
54000,55.7,0,12.62,2,14,0,1,0,144998,1000,11207,100,6159,19,9.99,Source Verified,MORTGAGE, 36 months,0
80000,59.9,0,16.65,0,44,2,0,0,78204,9200,4765,97.7,5619,47,6.92,Not Verified,OWN, 36 months,0
250000,73,0,8.45,3,42,0,0,0,1024570,43524,54071,97,35739,36,12.69,Verified,MORTGAGE, 36 months,0
94000,72.2,0,21.96,0,16,0,0,0,109463,27300,8366,70.6,23854,17,17.57,Verified,MORTGAGE, 60 months,0
60000,23.1,0,13.7,1,4,0,0,0,39212,10800,2421,92.9,2684,14,9.17,Source Verified,RENT, 36 months,1
85000,45.6,0,27.12,0,7,0,0,0,337800,2800,15737,95.8,4173,26,12.69,Not Verified,MORTGAGE, 36 months,0
85000,75,0,24.94,1,43,0,0,0,280445,34400,15889,97.1,29362,35,10.99,Source Verified,MORTGAGE, 60 months,0
32000,34,0,2.55,0,60,0,0,0,25336,3700,2902,100,2180,8,7.89,Not Verified,RENT, 36 months,0
65000,57.5,0,28.67,0,43,0,0,0,216572,14000,19095,100,16538,30,14.65,Verified,MORTGAGE, 36 months,0
130000,39.9,0,8.17,0,7,0,0,0,98621,48400,3629,100,19331,42,7.89,Source Verified,RENT, 36 months,0
52000,96.7,0,16.27,1,69,0,0,0,39472,16400,2730,93.3,15859,15,25.83,Source Verified,RENT, 60 months,1
110000,92.6,0,7.89,0,40,0,0,0,375916,3000,58279,84.2,37036,19,16.99,Source Verified,MORTGAGE, 36 months,0
59000,34.4,0,16.43,3,64,0,0,0,49000,7300,2464,91.7,6053,28,19.52,Verified,MORTGAGE, 36 months,0
42000,60.1,0,31.07,0,9,0,0,0,223784,24900,17002,100,26658,26,9.17,Not Verified,MORTGAGE, 36 months,0
146000,0,0,6.17,0,60,2,0,0,160338,10700,14630,88.9,0,21,11.53,Verified,MORTGAGE, 36 months,0
40000,93,0,29.73,4,4,0,1,0,19971,1500,8173,78,1394,23,14.65,Not Verified,RENT, 36 months,0
40536,61.7,0,22.5,1,11,0,0,0,40522,4500,5663,100,3722,14,15.61,Source Verified,RENT, 36 months,0
120000,34.9,0,12.16,0,3,0,0,0,205858,139300,2454,91.7,48646,48,6.92,Source Verified,RENT, 36 months,1
60000,16,0,17.84,2,34,0,1,0,38854,700,2580,97,9498,36,22.99,Verified,MORTGAGE, 60 months,0
85947,100.8,0,5.99,0,8,2,0,0,36660,6400,2772,95.2,6369,44,12.69,Source Verified,RENT, 60 months,1
70000,32.8,0,23.61,1,10,0,1,0,106995,30000,6445,94.4,9853,18,12.69,Not Verified,RENT, 36 months,0
87672,39.8,0,17.88,4,53,4,1,0,114559,5300,9800,83.3,6166,30,25.57,Verified,RENT, 60 months,0
50000,79.9,0,29.12,3,23,0,0,0,232624,13000,12153,100,26212,27,14.65,Verified,MORTGAGE, 36 months,0
83000,20,0,34.3,0,52,0,0,0,272205,25500,10401,100,20111,39,11.53,Verified,MORTGAGE, 60 months,0
51000,99.6,0,12.31,0,4,0,0,0,43571,15000,10284,89.3,14947,28,12.29,Source Verified,MORTGAGE, 60 months,1
97900,87.2,0,15.89,0,1,0,0,0,103585,7700,11680,100,6718,20,9.99,Source Verified,RENT, 60 months,0
315000,30.8,0,7.49,0,23,0,0,0,348551,76100,19353,100,23413,41,11.53,Not Verified,MORTGAGE, 36 months,0
70000,0,0,15.29,0,33,0,1,0,38134,2800,2019,100,7885,37,13.99,Source Verified,OWN, 60 months,0
1.00E+05,32.6,0,5.71,0,11,0,0,0,314367,25000,38506,100,8282,25,8.18,Source Verified,MORTGAGE, 60 months,0
63000,96.8,0,20.02,0,26,0,0,0,68651,15800,5243,100,15300,22,8.18,Not Verified,RENT, 36 months,0
55000,73.5,0,33.62,0,68,0,0,0,62324,10500,4706,96,14110,25,19.52,Source Verified,RENT, 36 months,1
79000,91.1,0,18.81,0,55,3,0,0,185249,9300,15918,80,12693,26,12.69,Source Verified,MORTGAGE, 60 months,0
32000,69.2,0,12.83,0,33,0,0,0,14082,4100,1029,90,3228,10,9.17,Not Verified,RENT, 36 months,0
73000,58.1,0,18.59,1,27,0,0,0,76533,4800,7602,90,4075,30,14.65,Source Verified,MORTGAGE, 36 months,0
60000,77.4,0,25.1,1,4,0,0,0,176850,10500,13901,88.2,9075,17,19.52,Verified,MORTGAGE, 36 months,1
275000,83.6,0,13.43,0,15,0,0,0,540998,35600,28391,100,60671,46,9.17,Verified,MORTGAGE, 36 months,0
250000,72.5,0,8.78,1,19,0,0,1,323396,16000,30018,95.7,40550,23,17.57,Source Verified,MORTGAGE, 60 months,1
25000,72.6,0,17.95,1,52,0,0,0,29232,16700,951,89.2,13339,37,16.55,Not Verified,RENT, 36 months,1
34527,63.7,0,38.55,0,17,0,0,0,56936,11400,4432,100,7715,21,14.65,Source Verified,RENT, 60 months,0
132000,34,0,22.42,3,29,0,2,0,309531,15400,10487,100,18885,68,16.99,Verified,MORTGAGE, 36 months,0
72000,75.7,0,34.28,1,71,1,0,0,68400,15300,7322,93.7,13090,16,21.67,Source Verified,RENT, 60 months,1
70000,98.2,0,6.94,0,44,0,1,0,29928,7200,1205,100,9374,31,13.33,Source Verified,RENT, 60 months,0
103995,50.4,0,10.02,0,38,7,0,0,233594,3000,18976,78.1,12239,33,7.89,Source Verified,MORTGAGE, 36 months,0
69000,38.8,0,25.72,1,18,0,1,1,130015,7600,10027,100,3491,45,8.18,Verified,OWN, 36 months,0
85000,35.7,0,24.56,0,6,0,0,0,503452,129000,25398,92.9,46465,28,12.29,Verified,MORTGAGE, 36 months,1
95000,54.3,0,18.29,1,4,0,0,0,503444,38300,31512,96.4,39008,28,12.69,Verified,MORTGAGE, 60 months,0
43680,0.1,0,16.38,1,36,1,0,0,35636,4900,2423,85.7,8067,21,24.99,Verified,RENT, 60 months,1
60000,93.9,0,8.7,1,44,0,0,0,153053,10100,11653,100,12501,21,12.69,Not Verified,MORTGAGE, 36 months,1
47500,9.8,0,30.72,0,36,1,0,0,62227,9800,2842,95.7,973,47,14.65,Verified,OWN, 36 months,0
78000,75.2,0,6.7,0,21,1,0,0,501655,8800,61703,84.6,6615,27,13.33,Source Verified,MORTGAGE, 60 months,0
95300,15,0,15.3,0,27,0,0,0,154975,81800,1728,100,25646,46,5.93,Source Verified,RENT, 36 months,0
75000,73,0,13.2,1,73,1,0,1,38637,5400,3309,93.3,8755,16,13.33,Source Verified,RENT, 36 months,0
95000,94,0,11.84,1,61,0,0,0,184797,15700,15368,100,21967,17,12.69,Source Verified,MORTGAGE, 36 months,0
96000,30.9,0,19.6,0,16,0,0,0,536061,114300,20286,100,81051,44,9.99,Source Verified,MORTGAGE, 60 months,0
84000,54.4,0,16.55,1,26,0,0,0,319301,31800,15783,100,39702,30,13.99,Source Verified,MORTGAGE, 60 months,0
136000,44.6,0,3.09,3,48,3,0,0,293540,24500,14598,90,16409,40,9.17,Not Verified,MORTGAGE, 36 months,0
72000,63.6,0,13.92,1,53,0,0,0,43500,15700,3436,100,16690,27,12.69,Verified,MORTGAGE, 60 months,0
45000,15.9,0,24.54,1,68,0,0,0,241344,48200,8160,98.1,11199,53,12.29,Source Verified,MORTGAGE, 36 months,0
36000,30,0,24,0,65,0,1,0,118781,2100,5290,71,628,24,13.33,Not Verified,RENT, 36 months,0
72000,27.1,0,15.52,2,46,0,1,0,136049,24200,5709,100,8651,22,13.99,Source Verified,MORTGAGE, 36 months,1
109200,15.1,0,4.3,0,35,0,0,0,27334,5500,2640,100,1105,18,23.99,Verified,OWN, 60 months,1
150000,91.2,0,13.51,0,14,0,1,0,392375,4600,18929,87.1,15312,31,9.99,Source Verified,MORTGAGE, 36 months,0
33275,59.9,0,27.2,0,21,0,0,0,27200,12200,1168,100,10333,21,18.25,Source Verified,MORTGAGE, 60 months,1
243100,92.6,0,6.29,0,77,0,0,0,1148555,30000,99646,100,28502,28,8.18,Verified,MORTGAGE, 60 months,0
44000,94,0,8.67,0,0,0,0,0,64924,5900,6669,100,6057,26,11.53,Not Verified,RENT, 36 months,0
48000,63.8,0,31.4,3,12,0,0,0,219520,19900,11106,100,18260,18,23.99,Source Verified,MORTGAGE, 60 months,0
1.00E+05,86,0,35.69,0,26,0,0,0,482892,52400,11716,98.3,228810,58,12.69,Source Verified,MORTGAGE, 60 months,1
2.00E+05,43.5,0,6.5,0,9,0,0,0,90250,24000,3442,100,10443,53,9.17,Verified,RENT, 36 months,0
33000,85.2,0,21.6,0,42,0,0,0,217103,9500,10772,100,11392,35,17.86,Not Verified,OWN, 60 months,0
32000,6.1,0,4.28,0,44,0,0,0,38600,28800,341,100,2387,31,8.18,Not Verified,RENT, 36 months,0
183300,93.6,0,13.4,0,13,0,0,0,370036,40000,54384,91.7,42403,13,12.69,Source Verified,MORTGAGE, 36 months,0
48000,77.3,0,13.58,1,66,1,0,0,30100,10900,1192,95.7,12183,23,16.55,Not Verified,MORTGAGE, 36 months,0
72500,88.4,0,23.35,1,43,0,0,0,169769,23100,6019,100,24249,30,13.99,Source Verified,MORTGAGE, 60 months,1
25000,93.7,0,19.25,0,16,0,0,0,28200,14500,1698,100,13583,11,22.99,Source Verified,OWN, 60 months,0
37000,90.5,0,24.98,1,16,2,0,0,45670,3200,3898,82.4,3294,17,14.65,Not Verified,RENT, 36 months,1
78000,75.3,0,20.37,1,40,0,0,0,199210,7500,19813,100,8311,31,7.89,Not Verified,MORTGAGE, 36 months,1
50000,38.6,0,18.24,0,73,0,1,0,191293,5900,13741,100,6040,21,11.53,Source Verified,MORTGAGE, 36 months,0
171600,80.2,0,17.99,0,1,0,0,0,595759,40500,46204,92,32986,25,15.61,Verified,MORTGAGE, 60 months,0
59890,98.7,0,9.71,0,7,0,0,0,13800,8400,1382,100,12435,10,15.61,Verified,RENT, 36 months,0
181000,34.4,0,19.92,3,5,0,0,0,373049,111100,12153,96.9,40052,33,20.49,Source Verified,MORTGAGE, 60 months,0
108000,92.5,0,21.23,1,17,8,0,0,160856,3900,8475,91.5,4801,56,18.84,Verified,MORTGAGE, 36 months,0
31000,61.2,0,23.27,1,79,0,1,0,34862,500,1435,90,7351,20,20.49,Source Verified,RENT, 60 months,1
150000,83.4,0,7.05,0,13,0,0,0,239300,44900,13871,100,37437,23,22.99,Verified,MORTGAGE, 60 months,0
122000,75,0,29,2,12,0,0,0,302960,7100,25273,92,7046,13,17.57,Verified,MORTGAGE, 36 months,0
140000,85.5,0,10.11,0,13,0,0,0,264672,52900,27540,95,45241,20,21.67,Source Verified,MORTGAGE, 60 months,0
38000,90.9,0,17.06,0,3,0,0,0,96400,14200,5471,100,16575,39,12.69,Not Verified,RENT, 36 months,0
41000,51.3,0,3.89,0,46,0,0,0,14100,11100,1140,100,5698,7,13.33,Verified,RENT, 36 months,0
52000,76.5,0,8.54,0,21,0,1,0,177239,6000,27496,90,6994,10,16.99,Verified,MORTGAGE, 36 months,0
65000,56.4,0,19.66,1,50,1,0,0,87097,78900,4956,96,44522,25,11.53,Not Verified,OWN, 60 months,0
70000,62.8,0,5.14,2,12,0,0,0,261400,29500,33519,100,18539,18,12.29,Not Verified,MORTGAGE, 36 months,0
32000,96.2,0,20.33,0,8,1,0,0,184500,12800,12498,92.9,17862,28,21.67,Verified,MORTGAGE, 36 months,1
88000,32.3,0,15.3,1,60,2,1,0,75066,6000,9956,87.5,1939,18,12.69,Source Verified,RENT, 36 months,0
62560,96.9,0,16.57,0,53,0,0,0,272967,14200,26031,100,14116,10,9.99,Verified,MORTGAGE, 36 months,0
53000,87.5,0,15.19,0,38,0,0,0,38700,33100,3296,83.3,29662,19,9.99,Source Verified,RENT, 36 months,0
72000,30.5,0,15.65,2,1,0,0,0,70086,17300,4023,100,5735,22,12.29,Not Verified,RENT, 36 months,0
101000,65.1,0,16.74,0,80,0,0,0,205586,28600,12175,100,33897,16,9.99,Verified,MORTGAGE, 36 months,0
56000,82.4,0,16.42,0,13,0,0,0,193233,20100,12690,96.8,16569,31,13.33,Source Verified,MORTGAGE, 36 months,0
34600,98,0,32.5,3,13,2,0,0,15180,2500,1563,69.6,7804,23,18.25,Source Verified,RENT, 36 months,0
175000,31.5,0,19.28,2,42,1,0,0,266223,18000,17383,89.3,12123,30,12.29,Verified,MORTGAGE, 36 months,0
169900,60.1,0,32.09,2,67,3,0,0,477033,19800,18886,87.7,11989,57,7.89,Not Verified,MORTGAGE, 36 months,0
30000,24.8,0,34.28,3,7,0,0,0,34475,0,1883,92,4229,26,16.99,Source Verified,RENT, 36 months,1
62000,98.5,0,24.29,0,9,0,0,0,293650,56200,36071,100,57761,31,7.89,Not Verified,MORTGAGE, 36 months,0
77000,85.7,0,12.62,2,18,0,0,0,117170,13000,10853,100,11217,26,14.65,Not Verified,MORTGAGE, 36 months,0
64963,62.2,0,8.37,0,13,0,0,0,140726,18400,12718,96,19292,26,22.99,Verified,MORTGAGE, 36 months,1
120000,97.6,0,32.43,1,30,0,0,0,321796,4500,21273,100,10928,45,18.84,Verified,MORTGAGE, 60 months,1
109200,20,0,14.71,0,20,2,0,0,104736,5000,10695,83.3,1002,16,19.52,Verified,OWN, 36 months,0
80000,99.9,0,26.82,0,71,0,0,0,347241,31500,30019,100,35291,28,22.99,Source Verified,MORTGAGE, 60 months,0
97000,71.5,1,26.34,2,64,5,0,0,415971,6000,16655,80,11245,57,17.86,Not Verified,MORTGAGE, 36 months,0
54480,42,0,18.27,0,58,0,0,0,93242,41900,2954,100,19038,33,6.92,Source Verified,RENT, 36 months,0
95000,67.6,0,12.28,0,30,0,1,2,44054,9100,3095,94.1,8544,17,11.53,Verified,RENT, 36 months,0
49598.25,94,0,11.76,0,17,4,0,0,22446,2500,1691,75,2616,16,17.57,Source Verified,RENT, 36 months,1
38500,7.8,0,2.56,2,8,0,0,0,54700,52700,511,100,4085,23,16.99,Verified,RENT, 36 months,1
35000,13.9,0,27.61,0,31,1,0,0,45300,26300,1023,88,5445,25,8.18,Not Verified,OWN, 36 months,1
27000,78.7,0,23.42,0,28,0,0,0,50684,6600,3872,100,5197,12,11.53,Not Verified,RENT, 36 months,0
97500,69.9,0,10.63,0,32,1,0,0,39597,6100,3339,94.4,3917,20,12.29,Source Verified,RENT, 36 months,0
24000,100.9,0,32.3,1,70,0,0,0,123775,10900,14390,100,10996,13,17.86,Not Verified,MORTGAGE, 36 months,1
102000,53.8,0,12.58,0,6,0,0,0,557830,39500,27274,100,27317,33,6.39,Source Verified,MORTGAGE, 36 months,0
120000,58.1,0,4.22,3,23,3,0,0,485356,4100,27509,89.7,6108,40,18.84,Source Verified,MORTGAGE, 36 months,1
65000,57.4,0,4.67,0,35,0,0,0,9400,3400,702,100,5612,8,14.65,Verified,RENT, 36 months,1
32000,74.8,0,28.58,0,2,0,0,0,76152,2900,4116,100,2169,30,21.67,Verified,OWN, 60 months,0
32000,82.2,0,15.38,0,19,2,0,0,36979,500,6090,84.2,1448,19,17.57,Not Verified,RENT, 36 months,0
76000,84.2,0,36.99,2,56,0,0,0,287178,16300,17983,100,28278,55,18.25,Source Verified,MORTGAGE, 60 months,1
23938.08,100.1,0,26.78,0,6,0,0,0,16800,9100,3077,100,15194,5,20.49,Verified,RENT, 36 months,1
73000,57.1,0,29.82,2,52,1,0,0,49491,9600,2050,95.8,14826,24,13.33,Verified,RENT, 36 months,0
62000,81.7,0,21.08,0,67,2,1,0,170161,6300,11589,92.6,19495,27,13.33,Source Verified,MORTGAGE, 36 months,1
82000,11.6,0,11.68,2,31,0,1,0,42911,3500,3222,92.9,7974,14,17.57,Source Verified,OWN, 60 months,0
62057,3.3,0,7.12,0,17,0,0,0,90000,67500,966,100,2441,25,5.93,Source Verified,OWN, 36 months,0
55000,90,0,22.63,1,64,4,0,0,49490,7600,2369,88.6,15790,35,25.8,Verified,RENT, 60 months,0
80000,65.6,0,20.7,0,26,1,0,0,197450,31100,12256,91.7,24294,36,7.89,Verified,MORTGAGE, 36 months,0
46000,19.6,0,31.28,1,35,0,0,0,73798,29600,4126,100,8546,15,11.53,Source Verified,MORTGAGE, 60 months,0
89000,79.8,0,14.77,1,28,1,0,0,65653,10500,9593,95.7,8375,23,9.99,Source Verified,RENT, 36 months,0
70000,54.8,0,17.1,0,21,0,0,0,216731,6400,13068,89.7,4540,39,7.89,Not Verified,MORTGAGE, 36 months,0
50000,21.5,0,18.29,0,11,1,0,0,34805,6400,3905,80,5525,15,8.18,Verified,RENT, 36 months,1
126000,83.6,0,29.35,0,3,0,0,0,389550,29400,19426,98.1,40822,53,14.65,Verified,MORTGAGE, 36 months,0
67000,97.1,0,22.1,0,62,0,0,0,242871,3500,25757,100,6966,17,13.33,Source Verified,MORTGAGE, 60 months,0
30000,36.8,0,14.25,1,34,0,1,0,32781,11100,2969,100,4664,15,7.89,Not Verified,MORTGAGE, 36 months,0
45000,23.5,0,4,0,9,0,0,0,116586,15100,13637,100,4207,16,13.33,Not Verified,RENT, 36 months,0
104000,96.1,0,18.31,1,20,0,0,0,69069,6100,2186,100,9816,22,17.86,Verified,RENT, 36 months,1
72000,93.5,0,12.53,3,3,0,0,0,261872,3600,27767,95.6,5422,46,17.57,Source Verified,OWN, 36 months,0
38500,93,0,22.44,1,24,1,0,0,197251,5600,23950,95.5,5486,22,13.99,Source Verified,MORTGAGE, 36 months,0
55000,28.6,0,17.91,0,65,1,1,0,50162,14600,2047,92.6,4443,34,14.65,Source Verified,RENT, 60 months,1
125000,95.5,0,26.68,0,20,0,0,0,276446,29400,17194,100,34187,42,16.55,Source Verified,MORTGAGE, 60 months,1
80000,1.4,0,2.82,1,7,0,1,0,493199,6000,40048,96.2,3263,26,16.99,Source Verified,MORTGAGE, 60 months,0
40000,45.1,0,20.07,1,67,0,0,0,77879,9800,4915,100,11764,19,13.99,Not Verified,OWN, 36 months,0
